,g,z-score,cdf,weights
AAPL,0.14238250839237500,0.9309057498323190,0.8240488400049890,0.3060082
AMGN,0.07823056735197490,-0.8355474174850500,0.2017047803282120,-0.31488144
AXP,0.1748223030540070,1.8241503983625600,0.9659353309874060,0.46471094
BA,0.18038943561903200,1.9774439510264200,0.9760042649439300,0.48744168
CAT,0.1098375703891780,0.03476593109027990,0.5138668063744530,-0.00957233
CSCO,0.09851567622892160,-0.27698762577907100,0.390894803877426,-0.0978273
CVX,0.11855874362681400,0.27490744260966800,0.6083063254984220,0.13514306
DIS,0.11609899067808400,0.2071770151801170,0.5820641914423980,0.08932014
DOW,0.08102320460005880,-0.7586508679490100,0.224030717445664,-0.19360652
GS,0.14520915882697400,1.0087388680843800,0.8434500570399800,0.32854908
HD,0.12244783024864800,0.3819952293499850,0.6487675483846350,0.14972985
HON,0.12407344153206200,0.4267571828285860,0.6652219020588180,0.16064484
IBM,0.08131348986286290,-0.7506577298835080,0.22642933414793200,-0.25325334
INTC,0.13028709941217700,0.5978531070507890,0.7250310242870740,0.19117944
JNJ,0.06606396763156410,-1.1705603300026600,0.12088777539125500,-0.38757147
JPM,0.14098474276743500,0.8924176312298350,0.8139154378738550,0.30300528
KO,0.0759265632740933,-0.8989892282063050,0.18432919913520100,-0.289395
MCD,0.10096241662821400,-0.20961550487611000,0.4169838886707460,-0.0821214
MMM,0.07443906737729290,-0.9399481110656700,0.1736220886853310,-0.30687186
MRK,0.06309894729309960,-1.2522035271234200,0.10524785555612700,-0.39832884
MSFT,0.1377703099303030,0.8039067463806040,0.789274583224427,0.27798124
NKE,0.11945860152929400,0.29968544334033200,0.6177914484529700,0.0788536
PG,0.07187387153361040,-1.0105819570471800,0.15610827754212600,-0.34877654
TRV,0.12014976382504400,0.31871691466694400,0.6250294064940930,0.11576985
UNH,0.13521590160870400,0.7335699397753540,0.768394556371153,0.2499336
V,0.14157164964226900,0.9085783816476420,0.8182136388945240,0.29906614
VZ,0.03114260399020300,-2.132136120398090,0.016497829001826800,-0.48181952
WMT,0.05825108971335420,-1.3856915126397400,0.08292056046454590,-0.43201488
